ID,Titolo,Generi,Punteggio,Stato
3,20th Century Boys,"Award Winning, Drama, Historical, Mystery, Psychological, Sci-Fi, Seinen",9,completed
743,21st Century Boys,"Award Winning, Drama, Mystery, Psychological, Sci-Fi, Seinen",0,completed
1224,3-gatsu no Lion,"Award Winning, Childcare, Drama, Iyashikei, Seinen, Slice of Life, Strategy Game",6,on_hold
147337,"66,666 Years: Advent of the Dark Mage","Fantasy, Reincarnation",4,dropped
134678,A Business Proposal,"Adult Cast, Comedy, Drama, Romance, Workplace",5,completed
148457,A Dance of Swords in the Night,"Action, Fantasy, Martial Arts",5,dropped
41723,A Fairytale for the Demon Lord,"Action, Adventure, Fantasy, Romance",0,plan_to_read
158496,A Modern Man Who Got Transmigrated Into the Murim World,"Action, Fantasy, Isekai, Martial Arts, Reincarnation",0,plan_to_read
132247,A Returner's Magic Should Be Special,"Action, Fantasy, School, Time Travel",6,completed
50027,About Death,"Psychological, Slice of Life, Supernatural",8,completed
172750,Absolute Regression,"Action, Fantasy, Martial Arts, Time Travel",7,reading
174691,Absolute Reign,"Action, Fantasy, Martial Arts",7,reading
149880,Absolute Sword Sense,"Action, Fantasy, Martial Arts, Time Travel",4,dropped
143991,After God,"Action, Fantasy",0,plan_to_read
147448,After School Lessons for Unripe Apples,"Romance, School",6,dropped
150210,After Ten Millennia in Hell,"Action, Fantasy",5,dropped
103939,Aharen-san wa Hakarenai,"Comedy, Love Status Quo, Romance, School, Shounen",3,dropped
147014,Aisha,"Drama, Mystery, Psychological, Suspense",0,plan_to_read
49865,Ajin,"Action, Gore, Horror, Mystery, Seinen, Supernatural",7,completed
1218,Akagi: Yami ni Oritatta Tensai,"Action, Adult Cast, Drama, Organized Crime, Psychological, Strategy Game",0,plan_to_read
21525,Akatsuki no Yona,"Adventure, Fantasy, Romance, Shoujo",0,plan_to_read
664,Akira,"Action, Award Winning, Gore, Sci-Fi, Seinen",0,plan_to_read
24705,Aku no Hana,"Drama, Psychological, Romance, School, Shounen",0,plan_to_read
1101,Akumetsu,"Action, Detective, Drama, Psychological, Shounen, Suspense",8,completed
125325,Akuyaku Reijou Tensei Ojisan,"Comedy, Fantasy, School, Seinen, Villainess",3,dropped
62887,All You Need Is Kill,"Action, Military, Sci-Fi, Seinen, Time Travel",7,completed
63535,Amaama to Inazuma,"Childcare, Comedy, Gourmet, Iyashikei, Seinen, Slice of Life",5,completed
129418,Ame to Kimi to,"Comedy, Seinen, Slice of Life",0,plan_to_read
143336,Among Us,"Comedy, Kids, Sci-Fi, Space",6,completed
128953,Ankoku Kishi no Ore desu ga Saikyou no Paladin wo Mezashimasu,"Action, Fantasy, School",2,dropped
30079,Annarasumanara,"Drama, Mystery, Psychological, Romance, School, Seinen",9,completed
296,Anne Freaks,"Horror, Mystery, Psychological",5,completed
102256,Ao Ashi,"Award Winning, Seinen, Sports, Team Sports",0,plan_to_read
13492,Ao no Exorcist,"Action, Mythology, School, Shounen, Supernatural",0,plan_to_read
135545,Ao no Hako,"Romance, School, Shounen, Sports, Team Sports",0,plan_to_read
14154,Arakawa Under the Bridge,"Comedy, Romance, Seinen",4,completed
96528,Arifureta Shokugyou de Sekai Saikyou,"Action, Adventure, Fantasy, Harem, Isekai",4,dropped
1303,Ashita no Joe,"Combat Sports, Drama, Shounen, Slice of Life, Sports",0,plan_to_read
131084,Assassin's Creed Valhalla x Vinland Saga,"Action, Historical, Seinen",4,completed
153965,Auto Hunting With My Clones,"Action, Fantasy",6,dropped
141583,Ayashimon,"Action, Organized Crime, Shounen, Supernatural",5,completed
93350,Ayeshah's Secret,Drama,7,completed
85,Azumanga Daioh,"CGDCT, Comedy, School, Slice of Life",3,dropped
72299,Baki-dou,"Action, Gore, Martial Arts, Shounen",0,plan_to_read
115749,Baki-dou,"Action, Martial Arts, Shounen",0,plan_to_read
5157,Baki: New Grappler Baki,"Action, Combat Sports, Gore, Martial Arts, Shounen",0,plan_to_read
9711,Bakuman.,"Comedy, Drama, Otaku Culture, Romance, Shounen",0,plan_to_read
756,Banana Fish,"Action, Adventure, Delinquents, Drama, Organized Crime, Psychological, Shoujo, Suspense",0,plan_to_read
13568,Barairo no Kaibutsu,"Horror, Psychological, Seinen",5,completed
17051,Barakamon,"Childcare, Comedy, Iyashikei, Shounen, Slice of Life, Visual Arts",4,dropped
111213,Bastard,"Drama, Gore, Horror, Mystery, Psychological, Romance",8,completed
103701,Beastars,"Anthropomorphic, Award Winning, Drama, Psychological, Shounen, Slice of Life",9,completed
10010,Beelzebub,"Action, Childcare, Comedy, Delinquents, Mythology, School, Shounen, Supernatural",0,plan_to_read
2,Berserk,"Action, Adventure, Award Winning, Drama, Fantasy, Gore, Horror, Military, Psychological, Seinen",10,dropped
92299,Berserk: Shinen no Kami 2,Seinen,0,completed
147662,Best Teacher Baek,"Action, Fantasy, Martial Arts, Reincarnation",7,reading
113835,Biao Ren,"Action, Drama, Historical",8,reading
11054,Billy Bat,"Detective, Drama, Historical, Mystery, Psychological, Seinen, Supernatural",0,plan_to_read
168969,Black and White Martial Emperor,"Action, Fantasy, Martial Arts",3,dropped
86337,Black Clover,"Action, Fantasy, Shounen",0,plan_to_read
735,Black Lagoon,"Action, Adult Cast, Drama, Military, Organized Crime, Seinen",0,plan_to_read
149,Blame!,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",6,completed
12,Bleach,"Action, Adventure, Award Winning, Shounen, Supernatural",0,plan_to_read
85719,Blue Giant,"Award Winning, Music, Seinen",7,completed
100922,Blue Giant Supreme,"Music, Seinen",0,plan_to_read
1479,Blue Heaven,"Action, Psychological, Seinen",5,completed
114745,Blue Lock,"Award Winning, Shounen, Sports, Team Sports",7,reading
107931,Blue Period,"Award Winning, Drama, School, Seinen, Visual Arts",8,reading
2109,Bokkou,"Action, Award Winning, Drama, Historical, Seinen",5,completed
75989,Boku no Hero Academia,"Action, School, Shounen, Super Power",4,completed
112807,Boku no Kokoro no Yabai Yatsu,"Comedy, Romance, School, Shounen",0,plan_to_read
153950,Boku to Jinginaki Ojisan,"Comedy, Shounen",4,completed
94919,Bokutachi ga Yarimashita,"Drama, Seinen",0,plan_to_read
175296,Bones,"Action, Fantasy, Urban Fantasy",2,dropped
148617,Book Eater,"Action, Adventure, Fantasy, School",5,dropped
119533,"Boukensha License wo Hakudatsu sareta Ossan dakedo, Manamusume ga Dekita node Nonbiri Jinsei wo Ouka suru","Action, Adventure, Fantasy",6,on_hold
115194,Boukensha ni Naritai to Miyako ni Deteitta Musume ga S-Rank ni Natteta,"Action, Adventure, Fantasy",6,on_hold
130977,Build King,"Action, Adventure, Fantasy, Shounen",2,completed
23419,Byousoku 5 Centimeter,"Drama, Romance, Seinen",6,completed
103444,Candy & Cigarettes,"Action, Seinen",5,completed
116778,Chainsaw Man,"Action, Award Winning, Fantasy, Gore, Shounen, Urban Fantasy",8,on_hold
104271,Chi no Wadachi,"Drama, Psychological, Seinen, Suspense",0,plan_to_read
76813,Chichi to Ko,"Childcare, Comedy, Shounen, Slice of Life",0,plan_to_read
148428,Child of the Sheath,"Action, Adventure, Fantasy",5,dropped
131403,Choujin X,"Action, Seinen, Supernatural",0,plan_to_read
174692,Chronicles of a Doomed Prodigy,"Action, Adventure, Fantasy, Martial Arts",5,reading
157591,Chronicles of the Demon Faction,"Action, Fantasy, Martial Arts, Reincarnation",4,dropped
177080,Chronicles of the Reincarnated Demon God,"Action, Fantasy, Martial Arts, Reincarnation",5,dropped
583,Claymore,"Action, Adventure, Fantasy, Gore, Horror, Shounen",0,plan_to_read
36595,Cocoon,"Drama, Historical, Josei",6,completed
5651,Crows,"Action, Delinquents, School, Shounen",0,plan_to_read
127084,Cuprum no Hanayome,"Comedy, Romance, Seinen",4,dropped
24,D.Gray-man,"Action, Adventure, Fantasy, Shounen, Urban Fantasy",0,plan_to_read
118858,Dai Dark,"Comedy, Horror, Sci-Fi, Shounen",9,on_hold
158565,Damedol to Sekai ni Hitori dake no Fan,"Comedy, Idols (Female), Romance",4,dropped
135496,Dandadan,"Action, Comedy, Shounen, Supernatural",8,on_hold
130755,Darwin Jihen,"Award Winning, Sci-Fi, Seinen",0,plan_to_read
70801,Dead Dead Demons Dededede Destruction,"Award Winning, Drama, School, Sci-Fi, Seinen",6,completed
110301,Dead Mount Death Play,"Action, Fantasy, Reincarnation, Seinen, Urban Fantasy",3,dropped
21,Death Note,"Psychological, Shounen, Supernatural, Suspense",7,completed
149465,Demon Devourer,"Action, Fantasy",5,dropped
147847,Descended from Divinity,"Action, Fantasy, Reincarnation",4,dropped
148070,Descent of the Demon Master,"Action, Fantasy, Martial Arts, Reincarnation",6,on_hold
150998,Designated Bully,"Action, Delinquents, School",3,dropped
1474,Devilman,"Action, Adventure, Drama, Fantasy, Horror, Mythology, Psychological, Sci-Fi, Shounen, Super Power, Supernatural",5,completed
148456,Disciple of the Holy Sword,"Action, Adventure, Fantasy",5,on_hold
82947,Distant Sky,"Action, Drama, Horror, Mystery, Survival",7,completed
111767,Do Chokkyuu Kareshi x Kanojo,"Comedy, Romance, School, Shounen",3,dropped
151060,"Doctor, Live Again","Action, Fantasy, Isekai, Martial Arts, Medical, Reincarnation",6,on_hold
147172,Doom Breaker,"Action, Fantasy, Time Travel",6,on_hold
1133,Dorohedoro,"Action, Comedy, Fantasy, Gore, Horror, Seinen",10,completed
156024,"Doumo, Yuusha no Chichi desu. Kono Tabi wa Gusoku ga Gomeiwaku wo Kakete, Moushiwake Arimasen.","Action, Adventure, Comedy, Fantasy",3,completed
40345,Dr. Frost,"Drama, Medical, Psychological",4,dropped
103897,Dr. Stone,"Adventure, Award Winning, Sci-Fi, Shounen, Survival, Suspense",0,plan_to_read
146618,Drawing: Saikyou Mangaka wa Oekaki Skill de Isekai Musou suru!,"Adventure, Fantasy, Isekai, Reincarnation",2,dropped
85781,Dungeon Meshi,"Award Winning, Comedy, Fantasy, Gourmet, Seinen",0,plan_to_read
152405,Dungeon Odyssey,"Action, Fantasy",4,dropped
147438,Dungeon Reset,"Action, Adventure, Fantasy",5,dropped
147171,Eleceed,"Action, Super Power",7,reading
10970,Emerging,"Drama, Gore, Horror, Medical, Psychological, Seinen",4,completed
150204,Ending Maker,"Action, Fantasy, Isekai, Romance",6,on_hold
43,Eyeshield 21,"Shounen, Sports, Team Sports",0,plan_to_read
43913,Feng Shen Ji,"Action, Fantasy, Historical, Martial Arts, Supernatural",8,completed
147463,FFF-Class Trashero,"Action, Adventure, Fantasy, Isekai, Time Travel",3,dropped
118805,Fight Class 3,"Action, Martial Arts, School",5,dropped
98270,Fire Punch,"Action, Gore, Mystery, Shounen, Supernatural",4,dropped
150088,Fist Demon of Mount Hua,"Action, Adventure, Fantasy, Martial Arts",4,dropped
25,Fullmetal Alchemist,"Action, Adventure, Award Winning, Drama, Fantasy, Military, Shounen",0,plan_to_read
102343,Fumetsu no Anata e,"Adventure, Award Winning, Drama, Shounen, Supernatural",8,on_hold
112694,Fushigi Neko no Kyuu-chan,"Comedy, Pets, Slice of Life",6,completed
103694,Gal Gohan,"Comedy, Gourmet, Love Status Quo, Romance, School, Seinen",3,dropped
24903,Gangsta.,"Action, Adult Cast, Drama, Organized Crime, Seinen",0,plan_to_read
564,Gantz,"Action, Drama, Gore, Horror, Psychological, Sci-Fi, Seinen, Supernatural, Survival",4,dropped
15010,Gekiryuuchi,"Action, Drama, Martial Arts, Psychological, School, Seinen",5,completed
146875,Get Schooled,"Drama, School",6,on_hold
110727,Gigant,"Drama, Romance, Sci-Fi, Seinen",2,completed
124145,Gilgamesh,"Action, Adventure, Fantasy",7,completed
25096,Gin no Saji,"Award Winning, Comedy, Drama, School, Shounen",5,dropped
44,Gintama,"Action, Comedy, Gag Humor, Historical, Parody, Samurai, Sci-Fi, Shounen",0,plan_to_read
98720,Goblin Slayer,"Action, Fantasy, Seinen",5,dropped
106247,Goblin wa Mou Juubun ni Tsuyoi,"Comedy, Fantasy, Shounen",4,completed
147532,God of Blackfield,"Action, Reincarnation, School",6,on_hold
1092,Gokusen,"Action, Comedy, Delinquents, Josei, Organized Crime, Romance, School, Slice of Life, Workplace",3,dropped
112922,Gokushufudou,"Adult Cast, Comedy, Organized Crime",7,reading
85968,Golden Kamuy,"Action, Adventure, Award Winning, Historical, Seinen",6,dropped
1470,Gon,"Action, Adventure, Award Winning, Drama, Seinen",7,completed
147530,Gosu,"Action, Adventure, Historical, Martial Arts",7,completed
70345,Grand Blue,"Comedy, Seinen",4,plan_to_read
11425,Grappler Baki,"Action, Gore, Martial Arts, Shounen",7,reading
107909,Grashros,"Action, Seinen",4,completed
36099,Green Blood,"Action, Historical, Psychological, Seinen, Suspense",0,plan_to_read
336,GTO,"Action, Award Winning, Comedy, Delinquents, Drama, Ecchi, School, Shounen, Workplace",3,dropped
128783,Gyakusatsu Happy End,"Horror, Mystery, Psychological, Supernatural, Suspense",0,plan_to_read
87637,Hai to Gensou no Grimgar,"Action, Adventure, Drama, Fantasy, Isekai, Shounen",5,completed
35243,Haikyuu!!,"Award Winning, School, Shounen, Sports, Team Sports",7,completed
7,Hajime no Ippo,"Award Winning, Combat Sports, Shounen, Sports",0,plan_to_read
146944,Hardcore Leveling Warrior,"Action, Adventure, Fantasy, Video Game",0,plan_to_read
147572,Heavenly Demon Reborn!,"Action, Fantasy, Martial Arts, Reincarnation",6,completed
162325,Heavenly Grand Archive's Young Master,"Action, Fantasy, Martial Arts",5,on_hold
151667,Hectopascal,Action,4,dropped
77637,Helck,"Action, Fantasy",8,completed
61583,Hellper,"Action, Fantasy, Supernatural",8,completed
267,Hellsing,"Action, Adult Cast, Gore, Historical, Horror, Seinen, Supernatural, Vampire",0,plan_to_read
151242,Helmut,"Action, Fantasy",3,dropped
176511,"Henkyou Mob Kizoku no Uchi ni Totsuidekita Akuyaku Reijou ga, Mechakucha Dekiru Ii Yome Nanda ga?","Fantasy, Isekai, Reincarnation, Romance",4,dropped
147290,Hero Killer,"Action, Super Power",6,dropped
1325,Hi no Tori (1967),"Drama, Fantasy, Historical, Psychological, Romance, Sci-Fi, Shounen, Space, Supernatural",7,completed
35719,Hibi Chouchou,"Romance, School, Shoujo",4,dropped
116766,Hige wo Soru. Soshite Joshikousei wo Hirou.,"Drama, Romance, Shounen",2,dropped
12200,High School Musical,"Comedy, Romance, School, Shoujo",3,completed
36413,Hinamatsuri,"Childcare, Comedy, Organized Crime, Seinen, Supernatural",9,completed
137303,Hirayasumi,"Seinen, Slice of Life",8,reading
143305,Hiroware Koneko to Moto Yakuza,"Comedy, Pets",5,completed
148050,His Majesty's Secret Heroine,"Action, Adventure, Crossdressing, Fantasy, Romance",4,completed
2924,Historie,"Action, Adventure, Award Winning, Historical, Seinen",0,plan_to_read
147643,Hoarding in Hell,"Action, Fantasy, Isekai",5,dropped
1149,Hokuto no Ken,"Action, Drama, Martial Arts, Sci-Fi, Shounen",0,plan_to_read
3285,Holyland,"Action, Delinquents, Martial Arts, Psychological, Seinen",7,reading
936,Homunculus,"Drama, Horror, Mystery, Psychological, Seinen, Supernatural",7,completed
42451,Horimiya,"Romance, School, Shounen",5,completed
21467,Hoshi Mamoru Inu,"Pets, Seinen, Slice of Life",0,plan_to_read
366,Hoshi no Koe,"Drama, Mecha, Romance, Sci-Fi, Seinen",5,completed
44489,Houseki no Kuni,"Action, Anthropomorphic, Drama, Fantasy, Seinen",0,plan_to_read
151440,How to Live as a Villain,"Action, Fantasy, Isekai, Psychological, Survival",3,dropped
147318,How to Use a Returner,"Action, Adventure, Fantasy, Isekai",3,dropped
26,Hunter x Hunter,"Action, Adventure, Fantasy, Shounen",8,reading
14440,I Am a Hero,"Award Winning, Drama, Gore, Horror, Psychological, Seinen",0,plan_to_read
153199,I Only Want to Beat You,"Comedy, Love Status Quo, Romance, School",6,completed
147822,I Stan the Prince,"Comedy, Fantasy, Romance",4,dropped
147392,I'm the Max-Level Newbie,"Action, Fantasy",4,dropped
33031,Imawa no Kuni no Alice,"Action, Gore, High Stakes Game, Horror, Psychological, Shounen, Supernatural, Survival",0,plan_to_read
171441,"Immortal, Invincible","Action, Fantasy, Martial Arts, Reincarnation",4,dropped
114824,In the Room,"Drama, Horror, Seinen, Supernatural",4,completed
58563,Innocent,"Drama, Historical, Seinen",0,plan_to_read
93699,Innocent Rouge,"Award Winning, Drama, Historical, Seinen",0,plan_to_read
64465,Inuyashiki,"Drama, Gore, Sci-Fi, Seinen",7,completed
90190,"Isekai Izakaya ""Nobu""","Adult Cast, Fantasy, Gourmet, Isekai, Iyashikei, Seinen, Workplace",6,on_hold
110621,Isekai Omotenashi Gohan,"Fantasy, Gourmet, Isekai, Slice of Life",4,completed
102671,Isekai Shokudou,"Comedy, Fantasy, Gourmet, Iyashikei, Mystery, Seinen, Workplace",6,completed
44743,Itou Junji Kyoufu Manga Collection: Nikuiro no Kai,"Drama, Horror, Psychological, Seinen, Supernatural, Suspense",6,completed
104314,Jagaaaaaan,"Drama, Gore, Horror, Mystery, Seinen, Supernatural",5,dropped
21665,Jigoku no Alice,"Action, Sci-Fi, Seinen",0,plan_to_read
112318,Jigokuraku,"Action, Fantasy, Historical, Shounen",5,dropped
106025,Jinmen,"Gore, Horror",0,plan_to_read
131703,Jinrui wo Metsubou sasete wa Ikemasen,"Childcare, Sci-Fi, Seinen, Slice of Life",6,completed
3006,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,"Action, Shounen, Supernatural",0,plan_to_read
3008,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"Action, Adventure, Organized Crime, Shounen",0,plan_to_read
1706,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,"Action, Adventure, Historical, Mystery, Seinen, Shounen, Supernatural",9,completed
25515,JoJo no Kimyou na Bouken Part 8: JoJolion,"Action, Adventure, Award Winning, Mystery, Seinen, Supernatural",8,completed
139629,JoJo no Kimyou na Bouken Part 9: The JoJoLands,"Action, Adventure, Seinen, Supernatural",0,plan_to_read
149983,Judge and Executioner,"Action, Drama, Psychological",6,completed
113138,Jujutsu Kaisen,"Action, School, Shounen, Supernatural",7,on_hold
100448,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.","Drama, Shounen",6,completed
147053,Jungle Juice,"Action, Fantasy",5,dropped
125076,Juujika no Rokunin,"Gore, Mystery, Psychological, Shounen, Suspense",1,on_hold
171811,Juvenile Detention Center,"Action, Drama",5,reading
122353,Kaette Kudasai! Akutsu-san,"Comedy, Love Status Quo, Romance",5,on_hold
119022,Kage no Jitsuryokusha ni Naritakute!,"Action, Comedy, Fantasy, Isekai, Reincarnation",4,dropped
90125,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,"Award Winning, Comedy, Romance, School, Seinen",7,completed
127907,Kaijuu 8-gou,"Action, Adult Cast, Fantasy, Sci-Fi, Shounen, Urban Fantasy",6,dropped
108948,Kaitai Zanuff,"Horror, Psychological, Seinen",4,completed
128784,Kami ni Aisareta Ko,"Fantasy, Slice of Life",2,dropped
24808,Kami no Kodomo,"Horror, Psychological",3,completed
111228,Kami-tachi ni Hirowareta Otoko,"Adventure, Fantasy, Isekai, Iyashikei, Reincarnation",0,plan_to_read
50217,Kamisama ga Uso wo Tsuku.,"Drama, Romance, School, Seinen",7,completed
90800,Kanojo wa Rokurokubi,"Comedy, School, Shounen, Supernatural",5,completed
144267,Kaoru Hana wa Rin to Saku,"Drama, Romance, School",8,reading
55377,Kasane,"Drama, Performing Arts, Psychological, Seinen, Supernatural",0,plan_to_read
119687,Katabami to Ougon,"Drama, Historical, Seinen",0,plan_to_read
18161,Katanagatari,"Action, Adventure, Comedy, Romance, Samurai",0,plan_to_read
47,Katekyou Hitman Reborn!,"Action, Comedy, Organized Crime, School, Shounen, Super Power",0,plan_to_read
118196,Kawaii dake ja Nai Shikimori-san,"Comedy, Romance",3,dropped
651,Kaze no Tani no Nausicaä,"Action, Adventure, Award Winning, Fantasy",0,plan_to_read
72025,Kengan Ashura,"Action, Martial Arts",6,completed
146979,Kill the Hero,"Action, Adventure, Fantasy, Time Travel",1,dropped
96792,Kimetsu no Yaiba,"Action, Fantasy, Historical, Shounen",6,completed
99314,Kimi no Na wa.,"Drama, Seinen",6,completed
104538,Kimi no Suizou wo Tabetai,"Drama, Romance",8,completed
121213,Kimi wa Houkago Insomnia,"Romance, School, Seinen",8,completed
16765,Kingdom,"Action, Award Winning, Historical, Military, Seinen",9,reading
131342,Kizoku Tensei: Megumareta Umare kara Saikyou no Chikara wo Eru,"Action, Adventure, Fantasy, Reincarnation",3,dropped
80119,Kobayashi-san Chi no Maid Dragon,"Fantasy, Slice of Life",1,dropped
56805,Koe no Katachi,"Award Winning, Drama, Shounen",8,completed
7375,Kokou no Hito,"Award Winning, Drama, Psychological, Seinen, Sports",10,completed
99007,"Komi-san wa, Comyushou desu.","Award Winning, Comedy, School, Shounen",4,dropped
116772,Kono Yuusha ga Ore Tueee Kuse ni Shinchou sugiru,"Action, Adventure, Comedy, Fantasy, Isekai, Shounen",4,dropped
153492,Koroshiya no Oshi,"Action, Comedy, Seinen",5,dropped
138703,Kotoshi no Mitsuishi-san wa Dokoka Okashii,"Comedy, Romance, School",3,dropped
42579,Kubera,"Action, Adventure, Comedy, Fantasy, Romance",3,dropped
128093,Kuchi ga Saketemo Kimi ni wa,"Fantasy, Romance, Shounen",5,completed
144453,Kuchibeta Shokudou,"Comedy, Slice of Life",5,on_hold
121615,Kumichou Musume to Sewagakari,"Childcare, Organized Crime, Slice of Life",5,reading
95012,"Kumo desu ga, Nani ka?","Action, Adventure, Comedy, Fantasy, Isekai, Reincarnation",6,completed
136979,Kuroiwa Medaka ni Watashi no Kawaii ga Tsuujinai,"Comedy, Love Status Quo, Romance, School, Shounen",3,dropped
3866,Kuroshitsuji,"Action, Fantasy, Historical, Mystery, Mythology, Shounen, Supernatural",0,plan_to_read
96050,"Kuzumi-kun, Kuuki Yometemasu ka?","Comedy, Romance, School, Shounen",4,completed
117549,Kyuujitsu no Warumono-san,"Fantasy, Iyashikei, Slice of Life, Urban Fantasy",5,on_hold
156825,Last on Earth,"Action, Adventure, Fantasy",3,dropped
146982,Latna Saga: Survival of a Sword King,"Action, Adventure, Fantasy, Isekai",7,on_hold
150784,Legend of an Asura: The Poison Dragon,"Action, Fantasy, Martial Arts",6,on_hold
171243,Level 0 no Munou Tansakusha to Sagesumaretemo Jitsu wa Sekai Saikyou desu: Tansaku Ranking 1-i wa Nazo no Hito,"Action, Adventure, Fantasy, Harem",2,dropped
148009,Level Up with the Gods,"Action, Adventure, Fantasy, Time Travel",5,dropped
147460,Leveling Beyond the Max,"Action, Fantasy, Isekai, Martial Arts",3,dropped
148137,Leviathan,"Action, Fantasy, Survival",6,dropped
147981,Little Rabbit and the Big Bad Leopard,"Anthropomorphic, Fantasy, Romance",5,completed
147389,Log-in Murim,"Action, Adventure, Fantasy, Martial Arts",0,plan_to_read
138673,Look Back,"Drama, Shounen",0,plan_to_read
111202,Lookism,"Action, Comedy, Drama, School, Supernatural",7,reading
132500,"Loop 7-kaime no Akuyaku Reijou wa, Moto Tekikoku de Jiyuu Kimama na Hanayome Seikatsu wo Mankitsu suru","Fantasy, Romance, Time Travel",6,dropped
147317,Lout of Count's Family,"Fantasy, Isekai, Reincarnation",4,dropped
119152,Lv2 kara Cheat datta Motoyuusha Kouho no Mattari Isekai Life,"Adventure, Fantasy, Isekai, Romance",5,dropped
91941,Made in Abyss,"Adventure, Drama, Fantasy, Sci-Fi",0,plan_to_read
14790,Magi,"Adventure, Award Winning, Fantasy, Shounen",0,plan_to_read
61189,Mahoutsukai no Yome,"Drama, Fantasy, Mythology, Romance, Shounen, Urban Fantasy",7,on_hold
160056,Mahoutsukai to Aka no Pilgrim,"Adventure, Fantasy",7,completed
104241,Mairimashita! Iruma-kun,"Comedy, Fantasy, Shounen",4,dropped
1415,Manhole,"Detective, Horror, Mystery, Seinen",0,plan_to_read
13387,March Story,"Action, Drama, Fantasy, Horror, Seinen, Supernatural",0,plan_to_read
124085,Mashle,"Action, Comedy, Fantasy, Gag Humor, Parody, School, Shounen",6,completed
